category,num_sequences,mean_iou,mean_success_auc,mean_center_error_px,mean_precision_20px
Animal,12,0.014556920289032027,0.05917459657211094,199.17488370873016,0.013230421446893343
Backpack,1,0.005937909531197306,0.05105425254678986,174.0588570476314,0.0
Bag,4,0.008649096057816075,0.054408125600607725,182.1307221960383,0.006489442764791191
Balloon,1,0.007065047267468943,0.05111111111111112,139.05617396661896,0.0
Besom,1,0.01375448347633255,0.057994147379622225,139.32446084932315,0.0111731843575419
Bicycle,2,0.023748025522353083,0.0659126984126984,275.1379236245141,0.005
Board,1,0.1768175023930222,0.2006349206349206,124.51430003956627,0.021666666666666667
Book,1,0.05943021979540075,0.08714285714285713,86.54603176080425,0.0
Bottle,1,0.019918611465129007,0.06357142857142857,174.92760094392136,0.018333333333333333
Bowl,1,0.0,0.047619047619047616,323.58968557711023,0.0
Box,2,0.030645632077289438,0.07115509689147997,123.25260925003421,0.020585815369425706
Buggy,1,0.0,0.047619047619047616,249.05705267722303,0.0
Cart,2,0.0,0.047619047619047616,345.9055252432353,0.0
Chair,1,0.051130307386655305,0.08515873015873016,83.90529168892559,0.03666666666666667
Clothes,1,0.10623042224470786,0.1294903926482874,114.26412811371695,0.0017543859649122807
Container,1,0.07985471302762713,0.1130952380952381,76.14773532850289,0.065
Cup,1,0.007839351685879264,0.05454690237298935,152.3376637033262,0.015050167224080268
Doll,2,0.06067791917745098,0.09273809523809523,75.1202467452682,0.041666666666666664
Fruit,1,0.0038110944698727615,0.05043436293436294,193.36635678815793,0.0016891891891891893
Human,7,0.023514271876173807,0.06656413837482596,177.75675146614213,0.01247247091305303
Lamp,1,0.15066990548524392,0.17547619047619042,81.6054792178915,0.10333333333333333
Leaf,2,0.002757236641466366,0.04933170018910091,186.68915005984638,0.0
Pillow,1,0.02392403081210704,0.06437074829931973,152.70991435188765,0.017857142857142856
Toy,1,0.0017660931002009257,0.04865079365079365,180.6575935040749,0.0033333333333333335
Trashcan,1,0.0035699730883029177,0.04968128983877015,198.81883970463272,0.0
