sequence,category,gt_file,pred_file,gt_match_method,num_frames_gt,num_frames_pred,num_frames_eval,mean_iou,success_auc,mean_center_error_px,precision_20px
backpack1,Backpack,Backpack/backpack1/groundtruth_rect.txt,backpack1/backpack1_001.txt,path_list_or_leaf_index,600,2999,402,0.005937909531197306,0.05105425254678986,174.0588570476314,0.0
bag1,Bag,Bag/bag1/groundtruth_rect.txt,bag1/bag1_001.txt,path_list_or_leaf_index,600,699,600,0.0,0.047619047619047616,234.86303924957207,0.0
bag2,Bag,Bag/bag2/groundtruth_rect.txt,bag2/bag2_001.txt,path_list_or_leaf_index,600,2999,573,0.019684959317450727,0.06374137787750353,172.48632514531278,0.019197207678883072
bag3,Bag,Bag/bag3/groundtruth_rect.txt,bag3/bag3_001.txt,path_list_or_leaf_index,600,2999,600,0.010995951778834948,0.05563492063492064,125.39267480666442,0.005
bag4,Bag,Bag/bag4/groundtruth_rect.txt,bag4/bag4_001.txt,path_list_or_leaf_index,600,2999,568,0.003915473134978622,0.050637156270959105,195.78084958260396,0.0017605633802816902
balloon1,Balloon,Balloon/balloon1/groundtruth_rect.txt,balloon1/balloon1_001.txt,path_list_or_leaf_index,600,2999,600,0.007065047267468943,0.05111111111111112,139.05617396661896,0.0
basket1,Container,Container/basket1/groundtruth_rect.txt,basket1/basket1_001.txt,path_list_or_leaf_index,600,2999,600,0.07985471302762713,0.1130952380952381,76.14773532850289,0.065
basketball1,Human,Human/human4/groundtruth_rect.txt,basketball1/basketball1_001.txt,shadow_init_bbox,600,2999,591,0.013224397533002015,0.05777133188300701,112.8680997045678,0.030456852791878174
bicycle1,Bicycle,Bicycle/bicycle1/groundtruth_rect.txt,bicycle1/bicycle1_001.txt,path_list_or_leaf_index,600,2999,600,0.017965810568479273,0.06158730158730158,230.69055369371694,0.0
bicycle2,Bicycle,Bicycle/bicycle2/groundtruth_rect.txt,bicycle2/bicycle2_001.txt,path_list_or_leaf_index,600,2999,600,0.02953024047622689,0.07023809523809522,319.5852935553113,0.01
board1,Board,Board/board1/groundtruth_rect.txt,board1/board1_001.txt,path_list_or_leaf_index,600,2999,600,0.1768175023930222,0.2006349206349206,124.51430003956627,0.021666666666666667
book1,Book,Book/book1/groundtruth_rect.txt,book1/book1_001.txt,path_list_or_leaf_index,600,2999,600,0.05943021979540075,0.08714285714285713,86.54603176080425,0.0
bowl1,Bowl,Bowl/bowl1/groundtruth_rect.txt,bowl1/bowl1_001.txt,path_list_or_leaf_index,600,2999,598,0.0,0.047619047619047616,323.58968557711023,0.0
box1,Box,Box/box1/groundtruth_rect.txt,box1/box1_001.txt,path_list_or_leaf_index,600,2999,515,0.0037718934319761165,0.05030050855293573,124.61520781330695,0.003883495145631068
box2,Box,Box/box2/groundtruth_rect.txt,box2/box2_001.txt,path_list_or_leaf_index,600,2999,590,0.057519370722602756,0.09200968523002422,121.89001068676147,0.03728813559322034
buggy1,Buggy,Buggy/buggy1/groundtruth_rect.txt,buggy1/buggy1_001.txt,path_list_or_leaf_index,600,499,499,0.0,0.047619047619047616,249.05705267722303,0.0
cart1,Cart,Cart/cart1/groundtruth_rect.txt,cart1/cart1_001.txt,path_list_or_leaf_index,600,499,499,0.0,0.047619047619047616,402.2671493161419,0.0
cart2,Cart,Cart/cart2/groundtruth_rect.txt,cart2/cart2_001.txt,path_list_or_leaf_index,600,499,499,0.0,0.047619047619047616,289.54390117032864,0.0
chair1,Chair,Chair/chair1/groundtruth_rect.txt,chair1/chair1_001.txt,path_list_or_leaf_index,600,2999,600,0.051130307386655305,0.08515873015873016,83.90529168892559,0.03666666666666667
cola1,Bottle,Bottle/bottle2/groundtruth_rect.txt,cola1/cola1_001.txt,shadow_init_bbox_bottle_l1,600,2999,600,0.019918611465129007,0.06357142857142857,174.92760094392136,0.018333333333333333
deer1,Animal,Animal/deer1/groundtruth_rect.txt,deer1/deer1_001.txt,path_list_or_leaf_index,600,1199,600,0.10324900031554635,0.13484126984126987,119.4911234351535,0.07666666666666666
